Título,Colecciones,Descripción,Estado audiovisual,Fecha,ID,Localidad,Lugar específico,Miniatura,País,Provincia,Slogan,URL,Verificado,Video,Videoxxx
"Entrega de créditos del Programa de Financiamiento Productivo del Bicentenario ",,,🎥 Video disponible,13/07/2011,CFK-20110713-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110713-01.mp4""",
Acto en Plaza de Mayo,Acto partidario,,🔍 Buscar video,10/12/2011,CFK-20111210-02,,Plaza de Mayo,,Argentina,Capital Federal,,,No,,
Declaraciones al término del Primer Seminario del Plan Estratégico Agroalimentario Nacional,Conferencias de prensa y entrevistas,,🔍 Buscar video,01/09/2010,CFK-20100901-03,,,,Argentina,Capital Federal,,,No,,
"Inauguración de la Sala de la Juventud Néstor Kirchner ",Homenajes y conmemoraciones,,🎥 Video disponible,15/05/2012,CFK-20120515-02,,Congreso de la Nación,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120515-02.mp4""",
" Declaraciones a la prensa tras la firma de acuerdos con la República de Chile",Conferencias de prensa y entrevistas,,🎥 Video disponible,16/03/2012,CFK-20120316-02,Santiago,,,Chile,,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120316-02.mp4""",
Entrega de certificados de elegibilidad del Programa de financiamiento productivo del Bicentenario,,,🎥 Video disponible,10/05/2012,CFK-20120510-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120510-01.mp4""",
Lanzamiento del Plan Nacional de Igualdad Cultural,,,🎥 Video disponible,12/03/2012,CFK-20120312-01,,Casa de Gobierno - Museo del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120312-01.mp4""",
Firma de convenios para la presentación de créditos con entidades multilaterales,,,🎥 Video disponible,14/03/2012,CFK-20120314-02,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120314-02.mp4""",
"Firma del decreto de desclasificación del Informe Rattenbach ",Malvinas,,🎥 Video disponible,07/02/2012,CFK-20120207-01,,Casa de Gobierno - Salón de los Patriotas Latinoamericanos,,Argentina,Capital Federal,,https://goo.su/qKFxNQl,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120207-01.mp4""",https://goo.su/qKFxNQl
Cadena nacional tras la muerte del ex Presidente Néstor Kirchner,Cadena Nacional,,🎥 Video disponible,01/11/2010,CFK-20101101-01,,Casa de Gobierno - Despacho presidencial,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010\CFK-20101101-01.mp4""",
Llegada al palacio de Miraflores y declaraciones almuerzo ofrecido por Hugo Chávez en Caracas,,,🔍 Buscar video,11/08/2009,CFK-20090811-01,Caracas,Palacio de Miraflores,,Venezuela,,,,No,,
"Entrega de viviendas en Santa Rosa, La Pampa",,,🔍 Buscar video,12/08/2008,CFK-20080812-01,Santa Rosa,,,Argentina,La Pampa,,,No,,
Reunión bilateral con el Presidente de Angola,Viajes al exterior,,🎥 Video disponible,18/05/2012,CFK-20120518-02,Luanda,,,Angola,,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120518-02.mp4""",
"Entrega de microcréditos sociales ",,,🎥 Video disponible,29/05/2012,CFK-20120529-01,,Casa de Gobierno - Museo del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120529-01.mp4""",
30º Aniversario del hundimiento del Crucero General Belgrano e inauguración Patio Malvinas Argentinas,Malvinas,,🎥 Video disponible,02/05/2012,CFK-20120502-01,,Casa de Gobierno - Patio Malvinas Argentinas,,Argentina,Capital Federal,,	 https://goo.su/bZ6qU,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120502-01.mp4""",https://goo.su/bZ6qU
Conferencia de Prensa luego del primer día de trabajo en Roma,Conferencias de prensa y entrevistas,,🔍 Buscar video,27/11/2009,CFK-20091127-01,Roma,Sede de la FAO,,Italia,,,,No,,
Declaraciones a la prensa en la presentación de dos nuevos aviones para Aerolíneas Argentinas,Conferencias de prensa y entrevistas,,🔍 Buscar video,06/08/2009,CFK-20090806-01,,,,Argentina,Capital Federal,,,No,,
Inauguración de la exposición industrial 2008,,,🔍 Buscar video,29/08/2008,CFK-20080829-01,Avellaneda,,,Argentina,Buenos Aires,,,No,,
Inauguración del encuentro empresarial “Argentina-Brasil: una alianza productiva clave”,,,🔍 Buscar video,04/08/2008,CFK-20080804-03,,,,Argentina,Capital Federal,,,No,,
"Llamado a licitación del Museo y Memorial de Malvinas y Dia de la Antártida ",Malvinas,,🎥 Video disponible,05/03/2012,CFK-20120503-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120305-01.mp4""",
Declaraciones al término de la inauguración del Centro de Documentación Rápida,Conferencias de prensa y entrevistas,,🔍 Buscar video,22/06/2010,CFK-20100622-03,Merlo,,,Argentina,Buenos Aires,,,No,,
Inauguración del Salón Eva Perón de Casa de Gobierno,Inauguraciones de salas y salones en Casa de Gobierno,,🎥 Video disponible,07/05/2012,CFK-20120507-01,,Casa de Gobierno - Salón Eva Perón,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120507-01.mp4""",
Anuncios de nuevas obras,,,🎥 Video disponible,25/01/2012,CFK-20120125-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2012\CFK-20120125-01.mp4""",
"Inauguración de la Planta Potabilizadora General Belgrano en Quilmes ",,,🎥 Video disponible,08/05/2012,CFK-20120508-01,Quilmes,,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120508-01.mp4""",
"Presentación de programas destinados a jóvenes ",,,🎥 Video disponible,11/05/2011,CFK-20110511-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110511-01.mp4""",
"Inauguración de la UNDAI de Lomas de Zamora ",,,🎥 Video disponible,21/12/2011,CFK-20111221-01,Lomas de Zamora,,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20111221-01.mp4""",
Visita a la planta Toyota,,,🎥 Video disponible,15/12/2011,CFK-20111215-01,Zárate,,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20111215-01.mp4""",
"Ascenso post mortem al teniente de fragata Jorge Devoto ",Homenajes y conmemoraciones,,🎥 Video disponible,06/06/2012,CFK-20120606-01,,,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120606-01.mp4""",
Firma de contratos para la construcción de centrales térmicas en Buenos Aires y Santa Fe,,,🔍 Buscar video,06/01/2009,CFK-20090106-01,,Residencia Presidencial de Olivos,,Argentina,Buenos Aires,,,No,,
Entrega de certificados del Programa de Créditos del Bicentenario,,,🎥 Video disponible,13/02/2012,CFK-20120213-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120213-01.mp4""",
"Presentación del Informe Rattenbach ",Malvinas,,🎥 Video disponible,22/03/2012,CFK-20120322-01,,Residencia Presidencial de Olivos,,Argentina,Buenos Aires,,	 https://goo.su/N039o,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120322-01.mp4""",https://goo.su/N039o
Simposio Fronteras en Biociencia,Conferencias y disertaciones,,🎥 Video disponible,23/04/2012,CFK-20120423-01,,,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120423-01.mp4""",
Conferencia de prensa con motivo de la suspensión del viaje a Bolivia,Conferencias de prensa y entrevistas,,🔍 Buscar video,05/08/2008,CFK-20080805-01,,Casa de Gobierno - Sala de conferencias,,Argentina,Capital Federal,,,No,,
"Anuncios de temas de Desarrollo Social ",,,🎥 Video disponible,29/02/2012,CFK-20120229-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120229-01.mp4""",
Inauguración de la nueva línea de producción de chocolates Milka,,,🎥 Video disponible,15/05/2012,CFK-20120515-01,San Fernando,,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120515-01.mp4""",
Anuncios sobre traspaso de transporte urbano al Gobierno de la Ciudad de Buenos Aires,,,🎥 Video disponible,29/03/2012,CFK-20120329-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120329-01.mp4""",
Presentación del Anteproyecto de nuevo Código Civil y Comercial unificado,,,🎥 Video disponible,27/03/2012,CFK-20120327-01,,Casa de Gobierno - Museo del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120327-01.mp4""",
"Inauguración del seminario “Oportunidades de comercio, negocios e inversión entre Argentina y Túnez”",Viajes al exterior,,🔍 Buscar video,19/11/2008,CFK-20081119-01,,,,Túnez,,,,No,,
"Ceremonia en el Centro Cultural Argentino en Chile ",Viajes al exterior,,🎥 Video disponible,16/03/2012,CFK-20120316-03,Santiago,,,Chile,,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120316-03.mp4""",
Declaraciones al término del acto de apertura del V Congreso de Traducción e Interpretación,Conferencias de prensa y entrevistas,,🔍 Buscar video,12/05/2010,CFK-20100512-01,,,,Argentina,Capital Federal,,,No,,
Saludo a medallistas olímpicos,Deporte,,🔍 Buscar video,01/09/2008,CFK-20080901-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
"Visita a Bahía Blanca, Buenos Aires",,,🔍 Buscar video,09/06/2009,CFK-20090609-01,Bahía Blanca,,,Argentina,Buenos Aires,,,No,,
"Encuentro bilateral con Vladimir Putin ",Viajes al exterior,,🔍 Buscar video,09/12/2008,CFK-20081209-02,Moscú,,,Rusia,,,,No,,
"Anunció del proyecto de ley de expropiación de YPF ",YPF,,🎥 Video disponible,16/04/2012,CFK-20120416-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120416-01.mp4""",
Declaraciones junto al Canciller después de la foto de Familia en el Hotel Miragem,Conferencias de prensa y entrevistas,,🔍 Buscar video,30/11/2009,CFK-20091130-01,Estoril,,,Portugal,,,,No,,
"Inauguración del parque de generación fotovoltaica en San Juan ",,,🎥 Video disponible,19/04/2012,CFK-20120419-01,Cañada Honda,,,Argentina,San Juan,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120419-01.mp4""",
Anuncio de Programa de Telefonía e Internet para localidades sin servicio básico telefónico,,,🔍 Buscar video,08/03/2012,CFK-20120308-02,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,,
"Anuncio de medidas para la industria frigorífica ",,,🎥 Video disponible,13/04/2012,CFK-20120413-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120413-01.mp4""",
Cena en honor a la visita de la Presidenta Cristina Fernández al Estado Plurinacional de Bolivia,Viajes al exterior,,🎥 Video disponible,17/07/2012,CFK-20120717-02,Cochabamba,,,Bolivia,,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120717-01.mp4""",
Visita a la provincia de San Juan,,,🎥 Video disponible,13/09/2012,CFK-20120913-01,Pocito,,,Argentina,San Juan,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120913-01.mp4""",
Presentación ante la Asamblea Legislativa de Angola,Viajes al exterior,,🎥 Video disponible,18/05/2012,CFK-20120518-03,Luanda,,,Angola,,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120518-03.mp4""",
Firma de convenios con el Banco Interamericano de Desarrollo,,,🔍 Buscar video,17/04/2008,CFK-20080417-01,,Casa de Gobierno - Salón Blanco,,Argentina,Capital Federal,,,No,,
Lanzamiento del Plan Federal de ganados y carnes,,,🔍 Buscar video,07/04/2011,CFK-20110704-02,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,,
"Declaraciones al periodismo con motivo de la visita del presidente electo de Perú, Ollanta Humala",Conferencias de prensa y entrevistas,,🔍 Buscar video,14/06/2011,CFK-20110614-02,,Casa de Gobierno,,Argentina,Capital Federal,,,No,,
"Día de la Soberanía Nacional ",Día de la Soberanía Nacional,,🎥 Video disponible,20/11/2012,CFK-20121120-01,San Pedro,,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20121120-01.mp4""",
"Entrega de distinciones a científicos ",,,🔍 Buscar video,15/08/2012,CFK-20120815-02,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,,
III Cumbre de Jefes de Estado y de Gobierno de América del Sur y Países Árabes,Cumbre América del Sur - Países Árabes,,🎥 Video disponible,02/10/2012,CFK-20121002-01,Lima,,,Perú,,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20121002-01.mp4""",
Apertura de la Cumbre de Jefas y Jefes de Estado del Mercosur y Estados asociados en la provincia de Mendoza,MERCOSUR,,🎥 Video disponible,29/06/2012,CFK-20120629-02,Guaymallén,,,Argentina,Mendoza,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120629-02.mp4""",
Acto de entrega de diplomas de extensión universitaria en Tecnópolis,,,🎥 Video disponible,27/08/2012,CFK-20120827-02,Vicente López,Tecnópolis,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120827-02.mp4""",
"Prórroga de la Ley Forestal, en San Fernando",,,🔍 Buscar video,13/04/2009,CFK-20090413-01,San Fernando,,,Argentina,Buenos Aires,,,No,,
Visita a la provincia de San Luis,,,🔍 Buscar video,27/06/2012,CFK-20120627-01,San Luis,,,Argentina,San Luis,,,No,,
"Visita a Florencio Varela, Buenos Aires",,,🔍 Buscar video,01/09/2008,CFK-20080901-02,Florencio Varela,,,Argentina,Buenos Aires,,,No,,
"60 aniversario del fallecimiento de Eva Perón ",Evita,,🎥 Video disponible,26/07/2012,CFK-20120726-02,José C. Paz,,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120726-02.mp4""",
Acto conmemorativo del 25° aniversario de Página 12,,,🎥 Video disponible,30/05/2012,CFK-20120530-01,,Ex ESMA,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120530-01.mp4""",
Homenaje a los ganadores del Premio Oscar,,,🔍 Buscar video,18/03/2010,CFK-20100318-01,,Casa de Gobierno - Salón de los Científicos,,Argentina,Capital Federal,,,No,,
40º aniversario de las relaciones diplomáticas entre Argentina y China,Visitas de mandatarios extranjeros,,🎥 Video disponible,24/06/2012,CFK-20120624-01,,Casa de Gobierno - Museo del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120624-01.mp4""",
"Inauguración de una planta de medicamentos oncológicos ",,,🎥 Video disponible,22/03/2012,CFK-20120322-02,Pilar,,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120322-02.mp4""",
Entrega de DNI número 20 millones,,,🎥 Video disponible,01/11/2012,CFK-20121101-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20121101-01.mp4""",
"Arribo a la Ciudad de Cochabamba, Bolivia ",Viajes al exterior,,🔍 Buscar video,17/07/2012,CFK-20120717-01,Cochabamba,,,Bolivia,,,,No,,
"Inauguración de la mina subterránea en San Julián ",,,🎥 Video disponible,29/03/2012,CFK-20120329-02,San Julián,,,Argentina,Santa Cruz,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120329-02.mp4""",
Saludo a los atletas argentinos que competirán en Londres 2012,Deporte,,🎥 Video disponible,26/06/2012,CFK-20120626-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120626-01.mp4""",
Creación del Registro del Fondo de Garantías Provinciales,,,🎥 Video disponible,01/02/2012,CFK-20120201-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120201-01.mp4""",
Acto por el día de la industria,Día de la industria,,🔍 Buscar video,02/09/2008,CFK-20080902-01,,Casa de Gobierno - Salón Blanco,,Argentina,Capital Federal,,,No,,
Acto por el tercer aniversario de la Ley de Servicios de Comunicación Audiovisual,,,🎥 Video disponible,10/10/2012,CFK-20121010-01,,Casa de Gobierno - Museo del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20121010-01.mp4""",
"Acuerdo con la AFA sobre prevención de la violencia ",Deporte,,🎥 Video disponible,30/07/2012,CFK-20120730-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120730-01.mp4""",
Lanzamiento del canal Tecnópolis TV,,,🎥 Video disponible,18/04/2012,CFK-20120418-01,Vicente López,Tecnópolis,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120418-01.mp4""",
"Inauguración del Forum Santiago del Estero ",,,🎥 Video disponible,24/07/2012,CFK-20120724-01,,,,Argentina,Santiago del Estero,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120724-01.mp4""",
Declaraciones a los periodistas,Conferencias de prensa y entrevistas,,🔍 Buscar video,27/07/2012,CFK-20120727-01,,Casa de Gobierno,,Argentina,Capital Federal,,,No,,
"Presentación del billete con la efigie de Eva Perón ",Evita,,🎥 Video disponible,25/07/2012,CFK-20120725-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120725-01.mp4""",
"Firma de convenio con Caritas para construcción de viviendas ",,,🎥 Video disponible,03/07/2012,CFK-20120703-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120703-01.mp4""",
Inauguración del 2º Encuentro de Comunicación Audiovisual en Mar del Plata,,,🎥 Video disponible,23/11/2012,CFK-20121123-01,Mar del Plata,,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20121123-01.mp4""",
Homenaje al padre Carlos Mugica en la Villa 31,Homenajes y conmemoraciones,,🔍 Buscar video,11/05/2010,CFK-20100511-06,,,,Argentina,Capital Federal,,,No,,
Presentación de Programa de Becas en Tecnópolis,,,🎥 Video disponible,05/11/2012,CFK-20121105-01,Vicente López,Tecnópolis,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20121105-01.mp4""",
"Recepción de la Presidencia pro tempore del Mercosur ",MERCOSUR,,🎥 Video disponible,20/12/2011,CFK-20111220-01,Montevideo,,,Uruguay,,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20111220-01.mp4""",
Anuncio de la creación del Ministerio del Interior y Transporte,,,🎥 Video disponible,06/06/2012,CFK-20120606-02,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120606-02.mp4""",
Apertura del 130º periodo de sesiones ordinarias del Congreso,Asunciones y apertura de sesiones,,🎥 Video disponible,01/03/2012,CFK-20120301-01,,Congreso de la Nación,https://www.newsdigitales.com/uploads/noticias/5/2026/02/20260228161459_apertura-seisones.webp,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\2012\CFK-20120301-01.mp4""",https://1drv.ms/v/c/0acaa6780c141b17/IQD8F4fTmdXZS60jaWnT1K0MATA2qS5fJAMRKjjPAw_3xPE?e=daZpeW
Acto de lanzamiento del Plan de Marketing Internacional Argentino 2012/13,,,🎥 Video disponible,28/08/2012,CFK-20120828-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120828-01.mp4""",
"Inauguración de un laboratorio de la Universidad de Lanús ",Universidades Nacionales,,🎥 Video disponible,07/06/2012,CFK-20120607-01,Lanús,Universidad Nacional de Lanús,,Argentina,Buenos Aires,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120607-01.mp4""",
"Entrega de DNI con reconocimiento del derecho a la identidad ",,,🎥 Video disponible,02/07/2012,CFK-20120702-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120702-01.mp4""",
Recibimiento a atletas olímpicos de Londres 2012,Deporte,,🎥 Video disponible,15/08/2012,CFK-20120815-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120815-01.mp4""",
"Recorrida por la Feria de Productos Argentinos en Luanda, Angola",Conferencias de prensa y entrevistas,,🔍 Buscar video,18/05/2012,CFK-20120518-06,Luanda,,,Angola,,,,No,,
Inauguración de cuatro tramos de la Autovía Ruta Nacional 14 en Concordia,,,🎥 Video disponible,30/08/2012,CFK-20120830-01,Concordia,,,Argentina,Entre Ríos,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120830-01.mp4""",
Promulgación de la ley que declara de interés público el abastecimiento de hidrocarburos,,,🎥 Video disponible,04/05/2012,CFK-20120504-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120504-01.mp4""",
Anuncio de creación de un gasoducto en el sur de Córdoba,,,🎥 Video disponible,24/10/2012,CFK-20121024-01,,Casa de Gobierno - Salón de los Pensadores y Escritores Argentinos,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20121024-01.mp4""",
Declaración de interés público de la construcción de un túnel de baja altura en la traza del ferrocarril trasandino central,,,🔍 Buscar video,03/09/2008,CFK-20080903-01,,Ministerio de Economía,,Argentina,Capital Federal,,,No,,
"Inauguración del Parque Eólico Rawson, en la provincia de Chubut",,,🎥 Video disponible,30/09/2011,CFK-20110930-01,Rawson,,,Argentina,Chubut,,,No,"""D:\Nueva carpeta\OneDrive\2010-11\CFK-20110930-01.mp4""",
"Inauguración de la Galería de los Ídolos Populares ",Inauguraciones de salas y salones en Casa de Gobierno,,🎥 Video disponible,08/03/2012,CFK-20120308-01,,Casa de Gobierno - Galería de los Ídolos Populares,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120308-01.mp4""",
"Recibimiento Las Leonas, ganadoras campeonato mundial de hockey",Deporte,,🔍 Buscar video,16/09/2010,CFK-20100916-02,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,,
"Clausura de la Cumbre de Jefes y Jefas de Estado del Mercosur y Estados Asociados, en la provincia de Mendoza",MERCOSUR,,🎥 Video disponible,29/06/2012,CFK-20120629-01,Guaymallén,,,Argentina,Mendoza,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120629-01.mp4""",
Firma de convenios entre la República Argentina y el Estado Plurinacional de Bolivia,Viajes al exterior,,🎥 Video disponible,18/07/2012,CFK-20120718-01,Cochabamba,,,Bolivia,,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120718-01.mp4""",
Encuentro con el nuevo directorio de YPF,YPF,,🎥 Video disponible,05/06/2012,CFK-20120605-01,,,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120605-01.mp4""",
Encuentro con rectores de Universidades Públicas,Universidades Nacionales,,🔍 Buscar video,07/04/2010,CFK-20100407-01,,Casa de Gobierno - Salón Norte,,Argentina,Capital Federal,,,No,,
"Nombramiento de Martín Sabbatella en AFSCA y entrega de Créditos del Bicentenario ",,,🎥 Video disponible,01/10/2012,CFK-20121001-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20121001-01.mp4""",
Anuncio de la modernización del sistema de DNI y firma de acuerdos con la CAF,,,🎥 Video disponible,26/03/2012,CFK-20120326-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120326-01.mp4""",
"Videoconferencias con Chivilcoy, Avellaneda, La Plata y Entre Ríos",,,🎥 Video disponible,04/07/2012,CFK-20120704-01,,Casa de Gobierno - Salón de las Mujeres Argentinas del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120704-01.mp4""",
"Disertación junto al premio Nobel de Economía, Joseph Stiglitz",Conferencias y disertaciones,,🎥 Video disponible,13/08/2012,CFK-20120813-01,,Casa de Gobierno - Museo del Bicentenario,,Argentina,Capital Federal,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120813-01.mp4""",
Sesión del Comité de Descolonización de la ONU,Naciones Unidas,,🎥 Video disponible,14/06/2012,CFK-20120614-02,Nueva York,Sede de las Naciones Unidas,,Estados Unidos,,,,No,"""D:\Nueva carpeta\OneDrive\Jellyfin\2012\CFK-20120614-02.mp4""",
"Recorrido por la planta de Grimoldi en Arroyo Seco, Santa Fe",,,🔍 Buscar video,05/09/2008,CFK-20080905-01,Arroyo Seco,,,Argentina,Santa Fe,,,No,,
